t,i
4.0,30
5.0,376
5.0,631
6.0,74
6.0,384
6.0,766
7.0,167
7.0,448
7.0,469
7.0,494
7.0,528
8.0,96
8.0,198
8.0,659
8.0,669
8.0,714
8.0,784
8.0,891
9.0,524
10.0,243
10.0,574
10.0,787
10.0,794
11.0,163
11.0,321
11.0,397
11.0,469
11.0,691
11.0,989
12.0,44
12.0,233
12.0,247
12.0,272
12.0,348
12.0,442
12.0,448
12.0,769
12.0,893
12.0,937
13.0,277
13.0,329
13.0,456
13.0,464
13.0,584
13.0,594
14.0,82
14.0,130
14.0,153
14.0,270
14.0,397
14.0,487
14.0,538
14.0,574
14.0,630
14.0,850
15.0,22
15.0,57
15.0,182
15.0,186
15.0,280
15.0,282
15.0,382
15.0,401
15.0,451
15.0,469
15.0,500
15.0,627
15.0,656
15.0,704
15.0,761
15.0,940
15.0,949
16.0,78
16.0,122
16.0,159
16.0,227
16.0,283
16.0,301
16.0,332
16.0,481
16.0,501
16.0,525
16.0,633
16.0,690
16.0,720
16.0,769
16.0,812
16.0,888
16.0,911
16.0,935
16.0,939
16.0,996
17.0,43
17.0,173
17.0,218
17.0,310
17.0,349
17.0,396
17.0,487
17.0,665
17.0,677
17.0,678
17.0,686
17.0,800
17.0,836
17.0,843
17.0,984
18.0,24
18.0,25
18.0,51
18.0,176
18.0,325
18.0,393
18.0,431
18.0,464
18.0,523
18.0,552
18.0,560
18.0,597
18.0,731
18.0,786
18.0,919
19.0,5
19.0,68
19.0,73
19.0,113
19.0,116
19.0,196
19.0,234
19.0,240
19.0,252
19.0,265
19.0,275
19.0,372
19.0,403
19.0,406
19.0,412
19.0,502
19.0,551
19.0,622
19.0,756
19.0,813
19.0,881
19.0,885
19.0,908
19.0,918
20.0,85
20.0,127
20.0,180
20.0,199
20.0,284
20.0,291
20.0,360
20.0,474
20.0,499
20.0,507
20.0,644
20.0,650
20.0,719
20.0,742
20.0,797
20.0,855
20.0,892
20.0,958
21.0,46
21.0,129
21.0,145
21.0,151
21.0,195
21.0,239
21.0,349
21.0,379
21.0,445
21.0,510
21.0,566
21.0,582
21.0,585
21.0,615
21.0,684
21.0,750
21.0,772
21.0,806
21.0,807
21.0,821
21.0,839
21.0,847
21.0,922
21.0,936
21.0,960
21.0,963
22.0,4
22.0,9
22.0,56
22.0,200
22.0,335
22.0,343
22.0,359
22.0,431
22.0,432
22.0,476
22.0,478
22.0,493
22.0,496
22.0,603
22.0,670
22.0,685
22.0,752
22.0,802
22.0,825
22.0,853
22.0,856
22.0,878
22.0,880
22.0,993
23.0,54
23.0,63
23.0,123
23.0,192
23.0,194
23.0,213
23.0,224
23.0,242
23.0,285
23.0,287
23.0,290
23.0,344
23.0,346
23.0,363
23.0,383
23.0,388
23.0,418
23.0,419
23.0,428
23.0,459
