t,rate
1.0,0
2.0,0
3.0,0
4.0,0
5.0,2
6.0,3
7.0,8
8.0,5
9.0,7
10.0,3
11.0,5
12.0,14
13.0,16
14.0,10
15.0,17
16.0,17
17.0,11
18.0,18
19.0,16
20.0,10
21.0,6
22.0,9
23.0,10
24.0,6
25.0,4
26.0,2
27.0,10
28.0,5
29.0,8
30.0,5
31.0,9
32.0,15
33.0,14
34.0,21
35.0,18
36.0,22
37.0,31
38.0,29
39.0,33
40.0,36
41.0,51
42.0,66
43.0,77
44.0,63
45.0,69
46.0,56
47.0,54
48.0,31
49.0,25
50.0,19
51.0,8
52.0,8
53.0,7
54.0,5
55.0,4
56.0,1
57.0,2
58.0,2
59.0,2
60.0,1
61.0,4
62.0,2
63.0,0
64.0,0
65.0,4
66.0,1
67.0,0
68.0,2
69.0,2
70.0,3
71.0,1
72.0,1
73.0,1
74.0,0
75.0,1
76.0,0
77.0,0
78.0,2
79.0,2
80.0,2
81.0,3
82.0,1
83.0,1
84.0,1
85.0,0
86.0,2
87.0,0
88.0,1
89.0,0
90.0,0
91.0,1
92.0,1
93.0,2
94.0,3
95.0,1
96.0,3
97.0,0
98.0,1
99.0,3
100.0,2
101.0,2
102.0,1
103.0,4
104.0,1
105.0,3
106.0,3
107.0,3
108.0,3
109.0,4
110.0,4
111.0,3
112.0,1
113.0,2
114.0,4
115.0,5
116.0,2
117.0,4
118.0,1
119.0,2
120.0,5
121.0,5
122.0,3
123.0,2
124.0,1
125.0,2
126.0,4
127.0,6
128.0,5
129.0,3
130.0,9
131.0,4
132.0,6
133.0,12
134.0,7
135.0,5
136.0,7
137.0,11
138.0,8
139.0,9
140.0,8
141.0,5
142.0,8
143.0,17
144.0,12
145.0,11
146.0,17
147.0,19
148.0,14
149.0,39
150.0,17
151.0,24
152.0,26
153.0,19
154.0,18
155.0,19
156.0,10
157.0,11
158.0,16
159.0,17
160.0,7
161.0,15
162.0,13
163.0,10
164.0,7
165.0,9
166.0,12
167.0,16
168.0,10
169.0,10
170.0,11
171.0,16
172.0,12
173.0,15
174.0,24
175.0,14
176.0,17
177.0,11
178.0,12
179.0,12
180.0,14
181.0,13
182.0,16
183.0,4
184.0,4
185.0,11
186.0,7
187.0,11
188.0,5
189.0,4
190.0,3
191.0,3
192.0,5
193.0,6
194.0,5
195.0,7
196.0,2
197.0,2
198.0,3
199.0,5
200.0,5
201.0,1
202.0,3
203.0,3
204.0,2
205.0,5
206.0,4
207.0,3
208.0,3
209.0,6
210.0,7
211.0,8
212.0,2
213.0,3
214.0,7
215.0,5
216.0,6
217.0,8
218.0,4
219.0,3
220.0,3
221.0,3
222.0,4
223.0,3
224.0,3
225.0,2
226.0,1
227.0,1
228.0,2
229.0,3
230.0,5
231.0,3
232.0,3
233.0,2
234.0,5
235.0,3
236.0,9
237.0,3
238.0,2
239.0,1
240.0,7
241.0,5
242.0,7
243.0,5
244.0,8
245.0,10
246.0,8
247.0,7
