t,rate
1.0,0
2.0,0
3.0,275
4.0,378
5.0,113
6.0,48
7.0,29
8.0,113
9.0,330
10.0,296
11.0,162
12.0,124
13.0,184
14.0,323
15.0,350
16.0,250
17.0,182
18.0,332
19.0,431
20.0,314
21.0,349
22.0,418
23.0,413
24.0,402
25.0,347
26.0,354
27.0,443
28.0,427
29.0,412
30.0,401
31.0,401
32.0,405
33.0,443
34.0,431
35.0,411
36.0,358
37.0,409
38.0,452
39.0,370
40.0,304
41.0,369
42.0,341
43.0,353
44.0,244
45.0,285
46.0,247
47.0,245
48.0,188
49.0,161
50.0,130
51.0,120
52.0,113
53.0,79
54.0,78
55.0,65
56.0,64
57.0,49
58.0,32
59.0,40
60.0,26
61.0,34
62.0,20
63.0,15
64.0,17
65.0,15
66.0,15
67.0,18
68.0,10
69.0,7
70.0,4
71.0,2
72.0,0
73.0,4
74.0,8
75.0,9
76.0,16
77.0,7
78.0,7
79.0,3
80.0,7
81.0,3
82.0,6
83.0,12
84.0,16
85.0,15
86.0,8
87.0,7
88.0,11
89.0,8
90.0,9
91.0,11
92.0,15
93.0,15
94.0,5
95.0,10
96.0,10
97.0,6
98.0,4
99.0,9
100.0,13
101.0,17
102.0,12
103.0,24
104.0,9
105.0,5
106.0,5
107.0,8
108.0,6
109.0,15
110.0,20
111.0,24
112.0,13
113.0,6
114.0,1
115.0,6
116.0,5
117.0,17
118.0,20
119.0,17
120.0,13
121.0,7
122.0,8
123.0,3
124.0,7
125.0,18
126.0,13
127.0,15
128.0,14
129.0,5
130.0,7
131.0,6
132.0,7
133.0,19
134.0,15
135.0,18
136.0,6
137.0,6
138.0,8
139.0,7
140.0,13
141.0,21
142.0,18
143.0,23
144.0,17
145.0,13
146.0,4
147.0,6
148.0,8
149.0,22
150.0,29
151.0,47
152.0,38
153.0,12
154.0,7
155.0,9
156.0,15
157.0,33
158.0,82
159.0,77
160.0,42
161.0,29
162.0,8
163.0,18
164.0,63
165.0,118
166.0,123
167.0,66
168.0,43
169.0,24
170.0,46
171.0,107
172.0,135
173.0,114
174.0,58
175.0,39
176.0,33
177.0,85
178.0,208
179.0,181
180.0,107
181.0,37
182.0,27
183.0,45
184.0,216
185.0,278
186.0,128
187.0,40
188.0,19
189.0,78
190.0,295
191.0,276
192.0,97
193.0,32
194.0,28
195.0,178
196.0,352
197.0,209
198.0,65
199.0,25
200.0,45
201.0,236
202.0,336
203.0,128
204.0,35
205.0,24
206.0,162
207.0,320
208.0,182
209.0,65
210.0,16
211.0,71
212.0,231
213.0,210
214.0,72
215.0,19
216.0,25
217.0,124
218.0,190
219.0,86
220.0,34
221.0,11
222.0,41
223.0,93
224.0,98
225.0,57
226.0,17
227.0,13
228.0,20
229.0,44
230.0,50
231.0,33
232.0,18
233.0,7
234.0,8
235.0,12
236.0,29
237.0,31
238.0,27
239.0,11
240.0,6
241.0,4
242.0,4
243.0,17
244.0,17
245.0,26
246.0,13
247.0,6
